time,tau1,tau2,tau3,tau4,tau5,tau6
1155,4.681, 0, 0, 0, 0, 0
1160,4.68099, 0, 0, 0, 0, 0
1165,4.68098, 0, 0, 0, 0, 0
1170,4.68097, 0, 0, 0, 0, 0
1175,4.68096, 0, 0, 0, 0, 0
1180,4.68095, 0, 0, 0, 0, 0
1185,4.68094, 0, 0, 0, 0, 0
1190,4.68093, 0, 0, 0, 0, 0
1195,4.68092, 0, 0, 0, 0, 0
1200,4.68091, 0, 0, 0, 0, 0
1205,4.6809, 0, 0, 0, 0, 0
1210,4.68089, 0, 0, 0, 0, 0
1215,4.68087, 0, 0, 0, 0, 0
1220,4.68086, 0, 0, 0, 0, 0
1225,4.68085, 0, 0, 0, 0, 0
1230,4.68084, 0, 0, 0, 0, 0
1235,4.68083, 0, 0, 0, 0, 0
1240,4.68082, 0, 0, 0, 0, 0
1245,4.68081, 0, 0, 0, 0, 0
1250,4.6808, 0, 0, 0, 0, 0
1255,4.68078, 0, 0, 0, 0, 0
1260,4.68077, 0, 0, 0, 0, 0
1265,4.68076, 0, 0, 0, 0, 0
1270,4.68075, 0, 0, 0, 0, 0
1275,4.68074, 0, 0, 0, 0, 0
1280,4.68073, 0, 0, 0, 0, 0
1285,4.68071, 0, 0, 0, 0, 0
1290,4.6807, 0, 0, 0, 0, 0
1295,4.68069, 0, 0, 0, 0, 0
1300,4.68068, 0, 0, 0, 0, 0
1305,4.68067, 0, 0, 0, 0, 0
1310,4.68065, 0, 0, 0, 0, 0
1315,4.68064, 0, 0, 0, 0, 0
1320,4.68063, 0, 0, 0, 0, 0
1325,4.68062, 0, 0, 0, 0, 0
1330,4.68061, 0, 0, 0, 0, 0
1335,4.68059, 0, 0, 0, 0, 0
1340,4.68058, 0, 0, 0, 0, 0
1345,4.68057, 0, 0, 0, 0, 0
1350,4.68056, 0, 0, 0, 0, 0
1355,4.68054, 0, 0, 0, 0, 0
1360,4.68053, 0, 0, 0, 0, 0
1365,4.68052, 0, 0, 0, 0, 0
1370,4.68051, 0, 0, 0, 0, 0
1375,4.68049, 0, 0, 0, 0, 0
1380,4.68048, 0, 0, 0, 0, 0
1385,4.68047, 0, 0, 0, 0, 0
1390,4.68046, 0, 0, 0, 0, 0
1395,4.68044, 0, 0, 0, 0, 0
1400,4.68043, 0, 0, 0, 0, 0
1405,4.68042, 0, 0, 0, 0, 0
1410,4.68041, 0, 0, 0, 0, 0
1415,4.68039, 0, 0, 0, 0, 0
1420,4.68038, 0, 0, 0, 0, 0
1425,4.68037, 0, 0, 0, 0, 0
1430,4.68036, 0, 0, 0, 0, 0
1435,4.68034, 0, 0, 0, 0, 0
1440,4.68033, 0, 0, 0, 0, 0
1445,4.68032, 0, 0, 0, 0, 0
1450,4.68031, 0, 0, 0, 0, 0
1455,4.68029, 0, 0, 0, 0, 0
1460,4.68028, 0, 0, 0, 0, 0
