time,thrust,rate_sp.x,rate_sp.y,rate_sp.z,tau_sp.x,tau_sp.y,tau_sp.z,m.1,m.2,m.3,m.4
570,0,0.00139661,0.00249268,0.893035,0.00111124,0.000662921,0.0026537,-0.23729,0.57299,-0.163798,-0.171902
575,0,0.000696696,0.00225176,0.887749,0.0004327,0.000655312,0.00261209,-0.237182,0.572895,-0.163875,-0.171837
580,0,2.674e-05,0.0021979,0.882426,-0.000523603,0.000626318,0.00256668,-0.572742,0.237031,0.1718,0.163911
585,0,-0.000581093,0.00234987,0.877056,-0.00127917,0.000564412,0.00251685,-0.572508,0.236813,0.171812,0.163883
590,0,-0.00109066,0.00263615,0.871627,-0.00169374,0.00047203,0.00243235,-0.572142,0.236461,0.171815,0.163866
595,0,-0.00147281,0.00297724,0.866116,-0.00175271,0.000339178,0.00234157,-0.571689,0.236011,0.17189,0.163788
600,0,-0.00169935,0.0032972,0.860498,-0.00160848,0.000167352,0.00224033,-0.571143,0.235459,0.172025,0.163659
605,0,-0.00174303,0.00352309,0.854748,-0.000964215,-2.47907e-05,0.00211249,-0.172054,-0.16365,0.570609,-0.234905
610,0,-0.00159942,0.00358238,0.848859,-0.00016129,-0.000184139,0.00199333,-0.1715,-0.164214,0.570684,-0.234971
615,0,-0.00131148,0.00340427,0.842868,0.000981997,-0.000319,0.00189118,0.164685,0.171018,0.235034,-0.570737
620,0,-0.000927526,0.00296739,0.836809,0.00217408,-0.000404852,0.0018327,0.164953,0.170706,0.235107,-0.570766
625,0,-0.000497539,0.00234392,0.830716,0.00292596,-0.00043202,0.00179964,0.165052,0.170562,0.235116,-0.57073
630,0,-6.47988e-05,0.0016141,0.824619,0.00321245,-0.00042439,0.00177386,0.165079,0.170514,0.235059,-0.570652
635,0,0.000346801,0.000851532,0.81853,0.00327184,-0.000417499,0.00174113,0.16513,0.170459,0.234981,-0.570569
640,0,0.000722223,0.000123631,0.812436,0.00304687,-0.00037464,0.00168877,0.16516,0.170446,0.23478,-0.570386
645,0,0.00103348,-0.000502811,0.80631,0.00248195,-0.000300847,0.0016384,0.165134,0.170508,0.234513,-0.570155
650,0,0.00125229,-0.000963307,0.800123,0.0016624,-0.00019956,0.00156268,0.165107,0.170575,0.234139,-0.56982
655,0,0.00135136,-0.00119553,0.793848,0.00068877,-6.04487e-05,0.00146746,0.165039,0.17067,0.233657,-0.569366
660,0,0.00130447,-0.00113902,0.787455,-0.000682276,9.85287e-05,0.00135131,-0.569206,0.233497,0.170359,0.165349
665,0,0.00110916,-0.000775369,0.780937,-0.00184108,0.000254607,0.00124618,-0.569285,0.23361,0.169821,0.165854
670,0,0.000811869,-0.000177977,0.774329,-0.00263197,0.000343615,0.00115185,-0.56925,0.233617,0.169433,0.1662
675,0,0.000459014,0.000571686,0.767666,-0.00316831,0.000401826,0.00109842,-0.56924,0.233643,0.169192,0.166405
680,0,8.67402e-05,0.00139802,0.760974,-0.00349579,0.000423203,0.0010453,-0.569163,0.233592,0.16903,0.166541
685,0,-0.000292774,0.00223983,0.754257,-0.00340472,0.000427505,0.000991919,-0.569068,0.233489,0.168917,0.166661
