time,thrust,att.x,att.y,att.z,attq.w,attq.x,attq.y,attq.z
1300,0,0,0,1.5708,0.707107,0,0,0.707107
1305,0,0,0,1.5708,0.707107,0,0,0.707107
1310,0,0,0,1.5708,0.707107,0,0,0.707107
1315,0,0,0,1.5708,0.707107,0,0,0.707107
1320,0,0,0,1.5708,0.707107,0,0,0.707107
1325,0,0,0,1.5708,0.707107,0,0,0.707107
1330,0,0,0,1.5708,0.707107,0,0,0.707107
1335,0,0,0,1.5708,0.707107,0,0,0.707107
1340,0,0,0,1.5708,0.707107,0,0,0.707107
1345,0,0,0,1.5708,0.707107,0,0,0.707107
1350,0,0,0,1.5708,0.707107,0,0,0.707107
1355,0,0,0,1.5708,0.707107,0,0,0.707107
1360,0,0,0,1.5708,0.707107,0,0,0.707107
1365,0,0,0,1.5708,0.707107,0,0,0.707107
1370,0,0,0,1.5708,0.707107,0,0,0.707107
1375,0,0,0,1.5708,0.707107,0,0,0.707107
1380,0,0,0,1.5708,0.707107,0,0,0.707107
1385,0,0,0,1.5708,0.707107,0,0,0.707107
1390,0,0,0,1.5708,0.707107,0,0,0.707107
1395,0,0,0,1.5708,0.707107,0,0,0.707107
1400,0,0,0,1.5708,0.707107,0,0,0.707107
1405,0,0,0,1.5708,0.707107,0,0,0.707107
1410,0,0,0,1.5708,0.707107,0,0,0.707107
1415,0,0,0,1.5708,0.707107,0,0,0.707107
1420,0,0,0,1.5708,0.707107,0,0,0.707107
1425,0,0,0,1.5708,0.707107,0,0,0.707107
1430,0,0,0,1.5708,0.707107,0,0,0.707107
1435,0,0,0,1.5708,0.707107,0,0,0.707107
1440,0,0,0,1.5708,0.707107,0,0,0.707107
1445,0,0,0,1.5708,0.707107,0,0,0.707107
1450,0,0,0,1.5708,0.707107,0,0,0.707107
1455,0,0,0,1.5708,0.707107,0,0,0.707107
1460,0,0,0,1.5708,0.707107,0,0,0.707107
1465,0,0,0,1.5708,0.707107,0,0,0.707107
1470,0,0,0,1.5708,0.707107,0,0,0.707107
