time,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,mag.x,mag.y,mag.z
360,-0.0843019, 0.0115024, -9.71076,0.0995038, 0.148457, -0.638011,0.611988, -1.17649, 1.38509
365,0.0505807, 0.00139633, -9.7309,0.130075, 0.154642, -0.653828,0.577384, -0.53725, -1.71002
370,0.0692976, -0.0181677, -9.87128,0.147336, 0.145737, -0.653405,-0.507629, 0.275605, -1.27067
375,0.03085, -0.0158019, -9.68063,0.145173, 0.122838, -0.66919,0.888291, -0.656901, -0.963983
380,0.00278288, -0.0344528, -9.87124,0.127316, 0.085806, -0.691052,-0.715077, 0.923001, -0.757499
385,-0.0683455, -0.0359602, -9.71434,0.0995719, 0.0282447, -0.726281,-0.0683097, -0.8512, -0.00206563
390,-0.160861, -0.041537, -9.92738,0.0553305, -0.0394443, -0.76639,0.423694, 0.163724, 0.0155019
395,-0.181837, -0.0526667, -9.72875,-0.00743778, -0.096046, -0.805985,0.600679, 0.416086, -0.894607
400,-0.0781728, -0.0466759, -9.87561,-0.0595908, -0.134686, -0.836704,0.949217, 0.328539, 0.613275
405,0.0902625, -0.0688509, -9.73381,-0.091292, -0.141592, -0.847854,1.74986, -0.195279, -0.178146
410,0.19856, -0.0562396, -9.75152,-0.108658, -0.136759, -0.862617,-0.11619, 0.521586, -0.11561
415,0.197263, 0.006307, -9.89878,-0.110644, -0.125355, -0.87417,0.672029, -0.436968, 0.540462
420,0.107056, -0.0145504, -9.70501,-0.101375, -0.109774, -0.891137,-0.768477, -0.941481, 0.0589912
425,0.0531698, -0.034201, -9.91207,-0.0750614, -0.0714003, -0.915151,0.888272, -0.550656, -1.60851
430,-0.0438023, -0.000775689, -9.72779,-0.0310403, -0.0209802, -0.946976,1.34522, 0.403795, -1.05525
435,-0.0937791, -0.00500848, -9.95476,0.0183088, 0.0409528, -0.995339,0.374132, 1.05504, -1.91078
440,0.0517748, 0.0364058, -9.73466,0.0604254, 0.0961737, -1.03224,1.36461, 1.50024, 0.135245
445,0.167552, 0.0326532, -9.90561,0.0906743, 0.127596, -1.06241,-0.420695, 0.361836, 0.666477
450,0.285442, -0.0418066, -9.71599,0.10308, 0.145391, -1.07902,-0.0209614, -0.702962, -0.745268
455,0.303046, -0.0150928, -9.90332,0.101988, 0.154394, -1.09439,-2.80195, 0.525227, -0.573455
460,0.222174, -0.0231156, -9.72494,0.0892829, 0.152727, -1.11534,-0.260601, -1.30179, -0.478117
465,0.218621, -0.00243759, -9.86852,0.0602636, 0.158352, -1.14455,0.83736, -0.984893, 0.591634
470,0.141158, -0.0737088, -9.73243,0.0215306, 0.131799, -1.17722,0.976017, -1.12124, -0.989598
475,0.057332, 0.00678856, -9.89337,-0.0320179, 0.0997704, -1.21361,-1.07878, 0.16697, -1.5084
480,-0.00750318, -0.0186013, -9.69996,-0.079458, 0.0382691, -1.25577,0.504175, 0.596836, -1.13078
485,0.0984674, -0.00465347, -9.90187,-0.100002, -0.0449649, -1.30456,0.566386, -0.186004, 0.433558
490,0.194573, -0.0202098, -9.70246,-0.113399, -0.116147, -1.33993,-0.84525, 1.16131, 0.432389
495,0.301626, 0.000555465, -9.85614,-0.105645, -0.178783, -1.36554,1.79605, 0.618651, -0.34762
500,0.261507, 0.00996758, -9.72296,-0.0830966, -0.227728, -1.38523,-0.0170868, 0.391194, 2.20412
505,0.234758, 0.0194028, -9.70358,-0.056763, -0.265482, -1.40793,0.238122, -0.565588, 0.692276
510,0.235479, 0.00868548, -9.8998,-0.0159416, -0.305093, -1.42228,0.368776, 1.48398, 1.33944
515,0.0935622, -0.00285292, -9.70774,0.037646, -0.327831, -1.44479,-1.58103, -0.931795, -1.23414
520,0.0342332, -0.0203813, -9.8577,0.0904665, -0.321628, -1.47646,-0.030235, 0.99687, 0.936255
525,-0.0704938, -0.0329868, -9.69641,0.120483, -0.286593, -1.49922,-2.01298, -1.27971, -0.183781
530,0.0535881, -0.0160545, -9.89104,0.129411, -0.230284, -1.52528,-3.30183, -0.822922, 0.01842
535,0.0924102, -0.0148564, -9.73375,0.122228, -0.149293, -1.55944,0.154512, -0.222452, -0.773859
540,0.134775, -0.0696782, -9.8737,0.0967397, -0.0571294, -1.60327,2.38926, -0.216381, 0.652741
545,0.200144, -0.0273124, -9.73492,0.0589127, 0.0439513, -1.6583,0.954227, -0.205462, -0.116241
550,0.309687, 0.00289046, -9.87349,0.0133076, 0.140037, -1.70386,0.618755, -0.880985, 0.369502
555,0.182316, -0.0105039, -9.69696,-0.0303231, 0.213944, -1.73794,0.565442, 0.924157, 0.42329
560,0.0613099, -0.0206246, -9.93647,-0.0549871, 0.260359, -1.75594,-0.799169, 0.468811, -0.0364902
565,-0.110995, 0.0394122, -9.75477,-0.0589761, 0.291652, -1.76198,0.396476, 0.089914, 2.21706
570,-0.0997405, -0.0358724, -9.8906,-0.0471218, 0.307249, -1.75564,-1.5239, -2.92603, -1.39514
575,-0.0157979, 0.00954178, -9.91913,-0.0174322, 0.30444, -1.75759,-1.76192, 0.756088, -0.411647
580,0.127131, 0.020449, -9.72163,0.0263077, 0.290816, -1.76121,0.156916, -0.933745, 1.05802
585,0.107999, -7.64393e-05, -9.88767,0.0603959, 0.260823, -1.76678,-2.0908, -0.634933, 0.218163
590,0.0565099, -0.0173615, -9.6906,0.0780444, 0.215864, -1.78867,0.200987, 1.33064, 1.1115
595,-0.0365615, 0.0229256, -9.69849,0.0786982, 0.151447, -1.81326,0.360735, 1.24763, 2.38126
600,-0.0837793, -0.0524478, -9.91589,0.070138, 0.0685436, -1.84248,-1.0104, -2.50508, 0.327863
605,-0.147328, -0.0125171, -9.6961,0.0377033, -0.0237165, -1.88391,-0.919076, -2.26062, -0.138779
610,-0.281554, -0.0350302, -9.91681,-0.00153211, -0.0997972, -1.92075,0.623612, -0.751201, -1.26748
615,-0.356995, -0.0340804, -9.72567,-0.0568992, -0.163414, -1.94914,-0.267877, 0.0307693, -0.492207
620,-0.192997, 0.0289848, -9.87604,-0.114128, -0.202819, -1.9565,1.85679, 0.63049, -0.450551
625,-0.0874535, 0.0145449, -9.93106,-0.149098, -0.213649, -1.95164,-0.818492, 0.245317, 0.676673
630,0.0178949, 0.0169446, -9.66454,-0.16081, -0.207548, -1.9433,-0.546143, 1.03299, -0.847401
635,0.0282521, 0.0123438, -9.90197,-0.161309, -0.201688, -1.9383,-0.555741, 1.93527, -0.26092
640,-0.0673158, 0.0164789, -9.71055,-0.147825, -0.178818, -1.94263,0.996373, 0.253087, -1.09765
645,-0.142269, 0.0284919, -9.90745,-0.117748, -0.141561, -1.94591,0.387174, 0.22572, 0.446676
650,-0.212531, 0.0246446, -9.73245,-0.0755105, -0.0917715, -1.96105,-1.19866, 0.0647772, 1.44133
655,-0.335307, 1.95798e-05, -9.94494,-0.0262958, -0.024743, -1.98517,0.761572, -1.37247, -1.14407
660,-0.324359, 0.042423, -9.70604,0.0418899, 0.0507694, -2.01887,0.508046, -0.478264, -0.840728
665,-0.148697, 0.0470652, -9.88834,0.0985871, 0.123863, -2.04689,1.05996, 0.510771, -1.41292
670,-0.0422805, 0.0118959, -9.67835,0.1363, 0.164228, -2.06947,-1.29073, -0.6411, -0.649176
675,0.119021, 0.0200666, -9.8711,0.160969, 0.189413, -2.07238,0.410205, 1.00544, 0.452521
680,0.123247, -0.026218, -9.75972,0.175091, 0.196799, -2.07506,-0.437452, 0.813667, 0.405158
685,0.161753, 0.0197158, -9.88872,0.168269, 0.196001, -2.07776,0.199058, 0.898466, -0.792547
690,0.165541, -0.0715862, -9.74008,0.155723, 0.201632, -2.0768,1.4708, -1.07662, -0.108839
695,0.0938377, -0.0210769, -9.90032,0.121089, 0.192616, -2.0821,0.448701, 1.87966, 0.465878
700,0.0854768, 0.00581347, -9.70991,0.0816449, 0.158793, -2.09784,-0.365055, -0.387181, -1.57537
705,-0.0674695, -0.011027, -9.90206,0.0284335, 0.12972, -2.12717,-0.0288435, -0.127605, -0.50036
710,-0.102629, -0.0168565, -9.71837,-0.0383685, 0.0757705, -2.15758,-0.396911, -0.686746, 0.826116
715,-0.0755825, -0.102884, -9.91149,-0.0908397, -0.00089101, -2.19744,-0.310426, 1.00084, -0.307749
720,-0.0395266, -0.0343909, -9.74156,-0.134247, -0.0963115, -2.23489,0.27567, -1.24744, -1.77433
