time,Vnom,I_mA,mAh_remaining
1130,8.39247,31003.3,99.6384
1135,8.39243,31003.2,99.6365
1140,8.39239,31003.2,99.6345
1145,8.39236,31003.1,99.6326
1150,8.39232,31003,99.6306
1155,8.39228,31002.9,99.6286
1160,8.39224,31002.8,99.6267
1165,8.39221,31002.7,99.6247
1170,8.39217,31002.7,99.6228
1175,8.39213,31002.6,99.6208
1180,8.39209,31002.5,99.6189
1185,8.39206,31002.4,99.6169
1190,8.39202,31002.3,99.6149
1195,8.39198,31002.2,99.613
1200,8.39194,31002,99.611
1205,8.39191,31001.9,99.6091
1210,8.39187,31001.8,99.6071
1215,8.39183,31001.7,99.6052
1220,8.39179,31001.6,99.6032
1225,8.39176,31001.5,99.6012
1230,8.39172,31001.4,99.5993
1235,8.39168,31001.3,99.5973
1240,8.39164,31001.1,99.5954
1245,8.3916,31001,99.5934
1250,8.39157,31000.9,99.5915
1255,8.39153,31000.8,99.5895
1260,8.39149,31000.7,99.5875
1265,8.39145,31000.5,99.5856
1270,8.39142,31000.4,99.5836
1275,8.39138,31000.3,99.5817
1280,8.39134,31000.1,99.5797
1285,8.3913,31000,99.5778
1290,8.39127,30999.9,99.5758
1295,8.39123,30999.8,99.5738
1300,8.39119,30999.6,99.5719
1305,8.39115,30999.5,99.5699
1310,8.39112,30999.4,99.568
1315,8.39108,30999.2,99.566
1320,8.39104,30999.1,99.5641
1325,8.391,30999,99.5621
1330,8.39097,30998.8,99.5601
1335,8.39093,30998.7,99.5582
1340,8.39089,30998.6,99.5562
1345,8.39086,30998.4,99.5543
1350,8.39082,30998.3,99.5523
1355,8.39078,30998.1,99.5504
1360,8.39074,30998,99.5484
1365,8.39071,30997.9,99.5464
1370,8.39067,30997.7,99.5445
1375,8.39063,30997.6,99.5425
1380,8.39059,30997.5,99.5406
1385,8.39056,30997.3,99.5386
1390,8.39052,30997.2,99.5367
1395,8.39048,30997,99.5347
1400,8.39044,30996.9,99.5327
1405,8.39041,30996.8,99.5308
1410,8.39037,30996.6,99.5288
1415,8.39033,30996.5,99.5269
1420,8.39029,30996.3,99.5249
1425,8.39026,30996.2,99.523
1430,8.39022,30996,99.521
1435,8.39018,30995.9,99.519
1440,8.39014,30995.8,99.5171
1445,8.39011,30995.6,99.5151
1450,8.39007,30995.5,99.5132
1455,8.39003,30995.3,99.5112
1460,8.38999,30995.2,99.5093
1465,8.38996,30995.1,99.5073
1470,8.38992,30994.9,99.5053
1475,8.38988,30994.8,99.5034
1480,8.38984,30994.6,99.5014
1485,8.38981,30994.5,99.4995
1490,8.38977,30994.3,99.4975
1495,8.38973,30994.2,99.4956
1500,8.38969,30994.1,99.4936
1505,8.38966,30993.9,99.4916
1510,8.38962,30993.8,99.4897
1515,8.38958,30993.6,99.4877
1520,8.38954,30993.5,99.4858
1525,8.38951,30993.3,99.4838
1530,8.38947,30993.2,99.4819
1535,8.38943,30993,99.4799
1540,8.3894,30992.9,99.478
1545,8.38936,30992.8,99.476
1550,8.38932,30992.6,99.474
1555,8.38928,30992.5,99.4721
1560,8.38925,30992.3,99.4701
1565,8.38921,30992.2,99.4682
1570,8.38917,30992,99.4662
1575,8.38913,30991.9,99.4643
1580,8.3891,30991.7,99.4623
1585,8.38906,30991.6,99.4603
1590,8.38902,30991.5,99.4584
1595,8.38898,30991.3,99.4564
1600,8.38895,30991.2,99.4545
1605,8.38891,30991,99.4525
1610,8.38887,30990.9,99.4506
1615,8.38883,30990.7,99.4486
1620,8.3888,30990.6,99.4466
1625,8.38876,30990.4,99.4447
1630,8.38872,30990.3,99.4427
1635,8.38869,30990.2,99.4408
1640,8.38865,30990,99.4388
1645,8.38861,30989.9,99.4369
1650,8.38857,30989.7,99.4349
1655,8.38854,30989.6,99.433
1660,8.3885,30989.4,99.431
1665,8.38846,30989.3,99.429
1670,8.38842,30989.1,99.4271
1675,8.38839,30989,99.4251
1680,8.38835,30988.8,99.4232
1685,8.38831,30988.7,99.4212
1690,8.38827,30988.6,99.4193
1695,8.38824,30988.4,99.4173
1700,8.3882,30988.3,99.4153
1705,8.38816,30988.1,99.4134
1710,8.38812,30988,99.4114
1715,8.38809,30987.8,99.4095
1720,8.38805,30987.7,99.4075
1725,8.38801,30987.5,99.4056
1730,8.38798,30987.4,99.4036
1735,8.38794,30987.3,99.4017
1740,8.3879,30987.1,99.3997
1745,8.38786,30987,99.3977
1750,8.38783,30986.8,99.3958
1755,8.38779,30986.7,99.3938
1760,8.38775,30986.5,99.3919
1765,8.38771,30986.4,99.3899
1770,8.38768,30986.2,99.388
1775,8.38764,30986.1,99.386
1780,8.3876,30985.9,99.384
1785,8.38757,30985.8,99.3821
1790,8.38753,30985.7,99.3801
1795,8.38749,30985.5,99.3782
1800,8.38745,30985.4,99.3762
1805,8.38742,30985.2,99.3743
1810,8.38738,30985.1,99.3723
1815,8.38734,30984.9,99.3704
1820,8.3873,30984.8,99.3684
1825,8.38727,30984.6,99.3664
1830,8.38723,30984.5,99.3645
1835,8.38719,30984.3,99.3625
1840,8.38716,30984.2,99.3606
1845,8.38712,30984.1,99.3586
1850,8.38708,30983.9,99.3567
1855,8.38704,30983.8,99.3547
1860,8.38701,30983.6,99.3527
1865,8.38697,30983.5,99.3508
1870,8.38693,30983.3,99.3488
1875,8.38689,30983.2,99.3469
1880,8.38686,30983,99.3449
1885,8.38682,30982.9,99.343
1890,8.38678,30982.8,99.341
1895,8.38675,30982.6,99.3391
1900,8.38671,30982.5,99.3371
1905,8.38667,30982.3,99.3351
1910,8.38663,30982.2,99.3332
1915,8.3866,30982,99.3312
1920,8.38656,30981.9,99.3293
1925,8.38652,30981.7,99.3273
1930,8.38648,30981.6,99.3254
1935,8.38645,30981.4,99.3234
1940,8.38641,30981.3,99.3215
1945,8.38637,30981.2,99.3195
1950,8.38634,30981,99.3175
1955,8.3863,30980.9,99.3156
1960,8.38626,30980.7,99.3136
1965,8.38622,30980.6,99.3117
1970,8.38619,30980.4,99.3097
1975,8.38615,30980.3,99.3078
1980,8.38611,30980.1,99.3058
1985,8.38608,30980,99.3039
1990,8.38604,30979.9,99.3019
1995,8.386,30979.7,99.2999
2000,8.38596,30979.6,99.298
2005,8.38593,30979.4,99.296
2010,8.38589,30979.3,99.2941
2015,8.38585,30979.1,99.2921
2020,8.38582,30979,99.2902
2025,8.38578,30978.8,99.2882
2030,8.38574,30978.7,99.2862
2035,8.3857,30978.5,99.2843
2040,8.38567,30978.4,99.2823
2045,8.38563,30978.3,99.2804
2050,8.38559,30978.1,99.2784
2055,8.38555,30978,99.2765
2060,8.38552,30977.8,99.2745
2065,8.38548,30977.7,99.2726
2070,8.38544,30977.5,99.2706
2075,8.38541,30977.4,99.2686
2080,8.38537,30977.2,99.2667
2085,8.38533,30977.1,99.2647
2090,8.38529,30977,99.2628
2095,8.38526,30976.8,99.2608
2100,8.38522,30976.7,99.2589
2105,8.38518,30976.5,99.2569
2110,8.38515,30976.4,99.255
2115,8.38511,30976.2,99.253
2120,8.38507,30976.1,99.251
2125,8.38503,30975.9,99.2491
2130,8.385,30975.8,99.2471
2135,8.38496,30975.7,99.2452
2140,8.38492,30975.5,99.2432
2145,8.38489,30975.4,99.2413
2150,8.38485,30975.2,99.2393
2155,8.38481,30975.1,99.2374
2160,8.38477,30974.9,99.2354
2165,8.38474,30974.8,99.2334
2170,8.3847,30974.6,99.2315
2175,8.38466,30974.5,99.2295
2180,8.38463,30974.3,99.2276
2185,8.38459,30974.2,99.2256
2190,8.38455,30974.1,99.2237
2195,8.38451,30973.9,99.2217
2200,8.38448,30973.8,99.2198
2205,8.38444,30973.6,99.2178
2210,8.3844,30973.5,99.2158
2215,8.38437,30973.3,99.2139
2220,8.38433,30973.2,99.2119
2225,8.38429,30973,99.21
2230,8.38426,30972.9,99.208
2235,8.38422,30972.8,99.2061
2240,8.38418,30972.6,99.2041
2245,8.38414,30972.5,99.2022
2250,8.38411,30972.3,99.2002
2255,8.38407,30972.2,99.1983
2260,8.38403,30972,99.1963
2265,8.384,30971.9,99.1943
2270,8.38396,30971.7,99.1924
2275,8.38392,30971.6,99.1904
2280,8.38388,30971.5,99.1885
2285,8.38385,30971.3,99.1865
2290,8.38381,30971.2,99.1846
2295,8.38377,30971,99.1826
2300,8.38374,30970.9,99.1807
2305,8.3837,30970.7,99.1787
2310,8.38366,30970.6,99.1767
2315,8.38362,30970.4,99.1748
2320,8.38359,30970.3,99.1728
2325,8.38355,30970.2,99.1709
2330,8.38351,30970,99.1689
2335,8.38348,30969.9,99.167
2340,8.38344,30969.7,99.165
2345,8.3834,30969.6,99.1631
2350,8.38337,30969.4,99.1611
2355,8.38333,30969.3,99.1591
2360,8.38329,30969.1,99.1572
2365,8.38325,30969,99.1552
2370,8.38322,30968.9,99.1533
2375,8.38318,30968.7,99.1513
2380,8.38314,30968.6,99.1494
2385,8.38311,30968.4,99.1474
2390,8.38307,30968.3,99.1455
2395,8.38303,30968.1,99.1435
2400,8.38299,30968,99.1415
2405,8.38296,30967.8,99.1396
2410,8.38292,30967.7,99.1376
2415,8.38288,30967.5,99.1357
2420,8.38285,30967.4,99.1337
2425,8.38281,30967.3,99.1318
2430,8.38277,30967.1,99.1298
2435,8.38274,30967,99.1279
2440,8.3827,30966.8,99.1259
2445,8.38266,30966.7,99.124
2450,8.38262,30966.5,99.122
2455,8.38259,30966.4,99.12
