time,thrust,rate_sp.x,rate_sp.y,rate_sp.z,tau_sp.x,tau_sp.y,tau_sp.z,m.1,m.2,m.3,m.4
500,0,0,0,0.767352,0,0,-0.000326924,0.199875,-0.199875,-0.199875,0.199875
505,0,0,0,0.758523,0,0,-0.000335028,0.199891,-0.199891,-0.199891,0.199891
510,0,0,0,0.749743,0,0,-0.000343513,0.199908,-0.199908,-0.199908,0.199908
515,0,0,0,0.741011,0,0,-0.000352367,0.199926,-0.199926,-0.199926,0.199926
520,0,0,0,0.732328,0,0,-0.000361577,0.199944,-0.199944,-0.199944,0.199944
525,0,0,0,0.723694,0,0,-0.000371132,0.199963,-0.199963,-0.199963,0.199963
530,0,0,0,0.71511,0,0,-0.000381017,0.199983,-0.199983,-0.199983,0.199983
535,0,0,0,0.706574,0,0,-0.00039122,0.200003,-0.200003,-0.200003,0.200003
540,0,0,0,0.698088,0,0,-0.000401732,0.200024,-0.200024,-0.200024,0.200024
545,0,0,0,0.689652,0,0,-0.000412541,0.200045,-0.200045,-0.200045,0.200045
550,0,0,0,0.681266,0,0,-0.000423633,0.200067,-0.200067,-0.200067,0.200067
555,0,0,0,0.672929,0,0,-0.000435002,0.20009,-0.20009,-0.20009,0.20009
560,0,0,0,0.664643,0,0,-0.000446637,0.200113,-0.200113,-0.200113,0.200113
565,0,0,0,0.656406,0,0,-0.000458527,0.200137,-0.200137,-0.200137,0.200137
570,0,0,0,0.648219,0,0,-0.000470664,0.200161,-0.200161,-0.200161,0.200161
575,0,0,0,0.640082,0,0,-0.000483037,0.200186,-0.200186,-0.200186,0.200186
580,0,0,0,0.631994,0,0,-0.000495638,0.200211,-0.200211,-0.200211,0.200211
585,0,0,0,0.623957,0,0,-0.000508458,0.200236,-0.200236,-0.200236,0.200236
590,0,0,0,0.615969,0,0,-0.000521492,0.200262,-0.200262,-0.200262,0.200262
595,0,0,0,0.608031,0,0,-0.000534728,0.200288,-0.200288,-0.200288,0.200288
600,0,0,0,0.600143,0,0,-0.000548157,0.200315,-0.200315,-0.200315,0.200315
605,0,0,0,0.592304,0,0,-0.000561778,0.200342,-0.200342,-0.200342,0.200342
610,0,0,0,0.584514,0,0,-0.000575579,0.20037,-0.20037,-0.20037,0.20037
615,0,0,0,0.576774,0,0,-0.000589553,0.200398,-0.200398,-0.200398,0.200398
620,0,0,0,0.569083,0,0,-0.000603694,0.200426,-0.200426,-0.200426,0.200426
625,0,0,0,0.561441,0,0,-0.000617995,0.200454,-0.200454,-0.200454,0.200454
