time,p.x,p.y,p.z,att.x,att.y,att.z,attq.w,attq.x,attq.y,attq.z,v.x,v.y,v.z,v.r,v.p,v.yaw,pdot.x,pdot.y,pdot.z,vdot.x,vdot.y,vdot.z,vdot.r,vdot.p,vdot.yaw
700,-1.01169, 1.00027, 3.99997,2.4757, -0.0669612, 0.0196404,0.32694,0.944401,-0.0202154,-0.0284269,-0.0768856, -0.00194515, 0.000999629, -1.50763, -1.34122, -1.26042,-0.0767281, 0.00529185, 0.000984524,0.208188, -0.0926397, 0.00587302, -22.7732, 8.47116, -1.21146
720,-1.01321, 1.00039, 4,2.44103, -0.0921633, -0.00805256,0.342619,0.938336,-0.0120299,-0.044648,-0.0768946, -0.00376308, 0.000921535, -1.94005, -1.1543, -1.20191,-0.0766833, 0.00639509, 0.00256086,-0.223604, -0.088854, -0.0121981, -21.9251, 12.1067, 7.28608
740,-1.01481, 1.00053, 4.00008,2.397, -0.11095, -0.0345618,0.362249,0.930271,-0.00409452,-0.0579166,-0.0850426, -0.00546453, 0.000446725, -2.37612, -0.804241, -0.987343,-0.0847096, 0.00797082, 0.0048011,-0.571549, -0.0805501, -0.0365698, -21.2673, 22.1906, 13.7463
760,-1.01665, 1.00071, 4.0002,2.34443, -0.119255, -0.0570693,0.385698,0.920259,0.00312858,-0.0659517,-0.0999018, -0.00690389, 9.12052e-06, -2.77501, -0.264553, -0.651828,-0.0994229, 0.00939089, 0.00741151,-0.892759, -0.0626554, -0.0810581, -18.6329, 31.4988, 19.3712
780,-1.01886, 1.00091, 4.00038,2.28433, -0.112926, -0.0724609,0.412832,0.90834,0.00945366,-0.066325,-0.122274, -0.00779527, -8.74168e-05, -3.2267, 0.51145, -0.179033,-0.121718, 0.00987847, 0.00994847,-1.2997, -0.0231833, 0.0119303, -26.272, 45.6572, 27.8339
800,-1.02157, 1.0011, 4.0006,2.2152, -0.0883272, -0.0774262,0.444512,0.89385,0.0148798,-0.0567438,-0.147914, -0.00755181, -0.00120923, -3.80867, 1.35892, 0.353455,-0.147348, 0.00920251, 0.0118795,-1.24757, 0.0492254, -0.121371, -32.0617, 39.7747, 25.886
820,-1.02474, 1.00127, 4.00084,2.1349, -0.0480382, -0.0708549,0.481173,0.875581,0.0194406,-0.0381051,-0.167496, -0.00557597, -0.00501607, -4.45156, 1.95426, 0.825142,-0.167002, 0.00787421, 0.0126221,-0.659962, 0.14671, -0.241969, -32.7354, 18.4996, 23.381
840,-1.02816, 1.00141, 4.00109,2.04186, -0.0013716, -0.0518126,0.522383,0.852317,0.0217268,-0.0141209,-0.171978, -0.00151157, -0.0102124, -5.0814, 2.03343, 1.27856,-0.171777, 0.00614776, 0.0117368,0.143888, 0.253327, -0.255262, -30.1448, -8.1049, 22.4687
860,-1.03153, 1.00151, 4.00131,1.93817, 0.0403068, -0.0218024,0.566085,0.824028,0.020391,0.0104424,-0.165003, 0.00418899, -0.0144855, -5.3255, 1.74679, 1.43067,-0.165295, 0.00464758, 0.0104659,0.308719, 0.29832, -0.17084, -0.0607252, -12.5229, 0.0842696
880,-1.0348, 1.00159, 4.00151,1.83268, 0.0739762, 0.0124465,0.608116,0.792962,0.0175761,0.033124,-0.161457, 0.0101892, -0.0172279, -5.19972, 1.59184, 1.38163,-0.16238, 0.00306027, 0.00961267,0.153292, 0.299284, -0.110637, 9.4338, -6.49755, -2.85789
900,-1.03802, 1.00164, 4.0017,1.72951, 0.101405, 0.0485812,0.646863,0.760534,0.0144151,0.054292,-0.15833, 0.0161105, -0.0189055, -4.99357, 1.4694, 1.32752,-0.160004, 0.00146155, 0.00905448,0.158703, 0.292281, -0.0605999, 11.4035, -5.7934, -2.57141
920,-1.04121, 1.00165, 4.00187,1.63005, 0.122532, 0.0854429,0.682037,0.727507,0.0109323,0.0737539,-0.157582, 0.0218099, -0.0196022, -4.72976, 1.28289, 1.23052,-0.160057, -0.000369425, 0.00856589,-0.073239, 0.276073, -0.0100281, 14.8905, -13.3737, -7.46155
940,-1.04442, 1.00162, 4.00204,1.53655, 0.134242, 0.119471,0.71343,0.694973,0.00675354,0.0893582,-0.156076, 0.026859, -0.0189928, -4.37496, 0.786523, 0.93541,-0.159272, -0.0020549, 0.00837285,0.210368, 0.222029, 0.0762487, 20.5366, -34.8296, -21.1995
960,-1.04753, 1.00157, 4.00222,1.45333, 0.130395, 0.143994,0.74076,0.664755,0.000876849,0.0968224,-0.147443, 0.0302829, -0.0161728, -3.8409, -0.0942424, 0.397089,-0.15108, -0.00256084, 0.00929675,0.628869, 0.11898, 0.203311, 32.5245, -52.7551, -32.1007
980,-1.05037, 1.00153, 4.00243,1.38709, 0.106536, 0.152624,0.763063,0.639625,-0.00784379,0.0924802,-0.128572, 0.031356, -0.010766, -3.00179, -1.25637, -0.320819,-0.132236, -0.00142286, 0.0118916,1.2179, -0.00528059, 0.324355, 50.2145, -61.9823, -39.3616
1000,-1.05273, 1.00152, 4.0027,1.34422, 0.0642367, 0.142363,0.778702,0.62253,-0.0191951,0.0755684,-0.101774, 0.0302315, -0.00380551, -1.8647, -2.14026, -1.04784,-0.105068, 0.000317666, 0.0157115,1.21288, -0.0938634, 0.349369, 62.2358, -31.5078, -38.1971
1020,-1.05464, 1.00153, 4.00304,1.32623, 0.0142914, 0.114136,0.786524,0.614879,-0.0294875,0.0493399,-0.0867084, 0.0277384, 0.0013797, -0.624333, -2.46516, -1.82146,-0.0892995, 0.00144076, 0.0176974,0.354625, -0.149417, 0.131498, 62.0595, -3.42788, -39.4157
1040,-1.05644, 1.00158, 4.00339,1.32934, -0.0327574, 0.0714148,0.786873,0.615865,-0.0348999,0.0180007,-0.0921122, 0.0242191, 0.00357591, 0.375512, -2.15144, -2.36398,-0.0937122, 0.00347626, 0.0170281,-0.727484, -0.20119, 0.09157, 41.7991, 29.1945, -18.1305
1060,-1.05848, 1.00168, 4.00372,1.34654, -0.0684108, 0.0221329,0.781517,0.622847,-0.0336308,-0.0126768,-0.108852, 0.0195783, 0.00497895, 1.10413, -1.52777, -2.62749,-0.10939, 0.0060547, 0.0159357,-0.800349, -0.260164, 0.050195, 33.5994, 28.7358, -11.5203
1080,-1.06079, 1.00183, 4.00404,1.37559, -0.09368, -0.0298806,0.77127,0.634609,-0.0266996,-0.041252,-0.120466, 0.0138515, 0.00554452, 1.76644, -1.00944, -2.77025,-0.120042, 0.00882622, 0.0157079,-0.279972, -0.302934, 0.00636914, 34.2268, 27.3581, -1.22899
1100,-1.06318, 1.00203, 4.00435,1.41777, -0.110298, -0.0799409,0.755896,0.65115,-0.0158346,-0.0661414,-0.117274, 0.00791492, 0.00503951, 2.48407, -0.427449, -2.62573,-0.11616, 0.0102579, 0.01558,0.537132, -0.279622, -0.0556826, 37.3057, 31.4439, 14.3965
1120,-1.06532, 1.00223, 4.00465,1.47392, -0.118705, -0.12177,0.735417,0.672285,-0.00302448,-0.0847691,-0.0988411, 0.00313886, 0.00334668, 3.07046, 0.137315, -2.19525,-0.0974657, 0.00968112, 0.0140469,1.09676, -0.1978, -0.107623, 23.0101, 30.5902, 24.5294
1140,-1.06705, 1.00241, 4.0049,1.54076, -0.117238, -0.151791,0.711259,0.696397,0.01079,-0.095002,-0.0783225, 4.65612e-05, 0.000694097, 3.43285, 0.953623, -1.58872,-0.0769749, 0.00879186, 0.0115095,0.906534, -0.118007, -0.156918, 14.4107, 50.9034, 36.4395
1160,-1.06845, 1.00257, 4.00511,1.61596, -0.0999625, -0.168072,0.68463,0.72234,0.0262031,-0.0939135,-0.0665045, -0.00166477, -0.000223001, 3.62659, 1.8738, -0.911358,-0.0654914, 0.00647929, 0.00972505,0.288907, -0.0599507, -0.019512, 5.22013, 40.8722, 32.666
1180,-1.06979, 1.00268, 4.00531,1.69486, -0.0690355, -0.173111,0.656804,0.748306,0.0420034,-0.0829584,-0.0724658, -0.00248333, -0.00103818, 3.53692, 2.40264, -0.306673,-0.0715575, 0.00486824, 0.0106941,-0.769806, -0.0260789, -0.0629498, -12.6557, 14.7211, 29.2504
1200,-1.07143, 1.00276, 4.00556,1.76853, -0.0326181, -0.168524,0.630465,0.771472,0.0547861,-0.0659089,-0.0931384, -0.00257254, -0.0028216, 3.04363, 2.36718, 0.408991,-0.0920917, 0.00334703, 0.0140447,-1.08418, 0.0231187, -0.10968, -33.9588, -11.0758, 45.0124
1220,-1.07348, 1.0028, 4.00587,1.82725, 0.00255557, -0.148689,0.609267,0.789478,0.0595845,-0.0443649,-0.112811, -0.00102376, -0.00525165, 2.18092, 2.02333, 1.47945,-0.1117, 0.00100178, 0.0166504,-0.884353, 0.137702, -0.126079, -50.0209, -22.6709, 60.5753
1240,-1.07584, 1.0028, 4.00621,1.86389, 0.0326543, -0.106921,0.596045,0.801006,0.0526121,-0.01877,-0.121868, 0.00336238, -0.0074714, 1.08016, 1.42875, 2.69999,-0.120944, -0.00127009, 0.0170245,-0.0790633, 0.293348, -0.0859766, -59.7851, -35.9844, 61.4812
1260,-1.07816, 1.00276, 4.00654,1.87534, 0.0525998, -0.0437497,0.591785,0.805371,0.0331829,0.00825786,-0.107734, 0.0101836, -0.00823417, -0.0226554, 0.692684, 3.50165,-0.107416, -0.00203398, 0.0153577,1.26347, 0.355674, 0.00953049, -52.9672, -37.424, 24.4221
1280,-1.08009, 1.00272, 4.00683,1.8649, 0.0586443, 0.0297556,0.595196,0.802908,0.00552519,0.0324032,-0.0888978, 0.0168898, -0.00704313, -0.950947, -0.0403581, 3.6969,-0.0895663, -0.00252433, 0.0144637,0.464722, 0.316826, 0.10065, -41.7249, -35.5976, -1.0615
1300,-1.08189, 1.00265, 4.00711,1.83846, 0.0488956, 0.103085,0.604443,0.794607,-0.0261482,0.0506454,-0.0920551, 0.0230363, -0.00419192, -1.6981, -0.705015, 3.43272,-0.0939814, -0.00413039, 0.0131461,-0.668797, 0.303643, 0.18238, -35.0639, -32.4006, -22.9504
1320,-1.08396, 1.00255, 4.00734,1.80104, 0.0224817, 0.167685,0.618245,0.781432,-0.0586637,0.0607966,-0.109702, 0.0290523, 0.000368619, -2.33322, -1.38574, 2.90334,-0.112939, -0.00547915, 0.00966729,-1.00605, 0.295317, 0.11423, -31.595, -37.19, -28.2376
1340,-1.08646, 1.00247, 4.00749,1.75512, -0.0233646, 0.219483,0.636127,0.763684,-0.0916564,0.0610513,-0.132249, 0.0347334, 0.00430599, -3.06513, -2.1839, 2.28192,-0.136687, -0.00247406, 0.00503858,-1.11618, 0.266539, 0.281348, -41.5723, -38.399, -35.6681
1360,-1.08939, 1.00246, 4.00754,1.70142, -0.087837, 0.25691,0.657615,0.741126,-0.124922,0.0516626,-0.147078, 0.0394331, 0.0116254, -3.55101, -2.69295, 1.84889,-0.152707, 0.00109614, 0.00116887,-0.363133, 0.20708, 0.425097, -11.2624, -12.8582, -12.739
1380,-1.09249, 1.00251, 4.00755,1.64648, -0.160133, 0.285403,0.679123,0.715841,-0.157784,0.0383183,-0.147976, 0.0430033, 0.0206294, -3.58338, -2.74968, 1.71964,-0.15543, 0.00364313, 8.69613e-05,0.19645, 0.154867, 0.457668, 5.5033, 4.51596, -1.82307
1400,-1.09557, 1.0026, 4.00755,1.59463, -0.232032, 0.309481,0.698409,0.689716,-0.189436,0.0251203,-0.143043, 0.0456744, 0.0295462, -3.36925, -2.63929, 1.69767,-0.152948, 0.00522937, 0.000246636,0.257899, 0.115852, 0.432786, 14.4033, 5.37971, -1.11508
1420,-1.0986, 1.00272, 4.00756,1.54856, -0.301214, 0.331083,0.714456,0.66416,-0.219714,0.0130037,-0.137693, 0.0476726, 0.0378432, -3.03039, -2.53456, 1.67434,-0.150402, 0.00659002, 0.000343563,0.275355, 0.087143, 0.397405, 18.6173, 5.12257, -1.21635
1440,-1.10158, 1.00286, 4.00757,1.50979, -0.366884, 0.351624,0.726948,0.64009,-0.248651,0.00218979,-0.132045, 0.0492048, 0.0453648, -2.63268, -2.43412, 1.64886,-0.147833, 0.00776643, 0.000399677,0.288051, 0.0686647, 0.356061, 20.829, 4.93976, -1.32569
1460,-1.10451, 1.00303, 4.00758,1.47924, -0.428494, 0.372516,0.735888,0.61812,-0.276306,-0.00715125,-0.126189, 0.0504698, 0.0520194, -2.20029, -2.3368, 1.62122,-0.145256, 0.00879375, 0.000435961,0.296503, 0.0598274, 0.3112, 22.3537, 4.80608, -1.4323
1480,-1.10739, 1.00322, 4.00759,1.45783, -0.485552, 0.395222,0.741368,0.598743,-0.302754,-0.0148585,-0.120203, 0.0516554, 0.0577508, -1.73467, -2.24172, 1.5915,-0.142681, 0.00970185, 0.000468186,0.301273, 0.0602277, 0.263938, 24.1681, 4.71296, -1.53379
1500,-1.11022, 1.00342, 4.00759,1.44674, -0.537487, 0.421328,0.743449,0.582427,-0.328073,-0.020748,-0.114156, 0.0529418, 0.0625164, -1.23519, -2.14813, 1.55981,-0.140114, 0.0105145, 0.000508587,0.302901, 0.0692977, 0.214834, 25.6982, 4.65441, -1.62901
1520,-1.11299, 1.00364, 4.00761,1.44712, -0.583646, 0.452418,0.742202,0.569553,-0.352335,-0.0246359,-0.108104, 0.0544877, 0.0662868, -0.711458, -2.05544, 1.52632,-0.137559, 0.0112495, 0.000567249,0.301886, 0.0854995, 0.164575, 26.6085, 4.61842, -1.71419
1540,-1.11572, 1.00387, 4.00762,1.45995, -0.623284, 0.489899,0.73771,0.560371,-0.375598,-0.0263575,-0.102097, 0.056416, 0.0690428, -0.168845, -1.96334, 1.49125,-0.135022, 0.0119199, 0.000652782,0.298673, 0.107125, 0.113311, 27.9005, 4.59613, -1.78711
1560,-1.11839, 1.00411, 4.00763,1.48616, -0.655363, 0.535028,0.729965,0.555128,-0.397898,-0.0257095,-0.0961739, 0.05883, 0.0707506, 0.406368, -1.87149, 1.45482,-0.132508, 0.0125342, 0.000772545,0.293618, 0.133629, 0.0596882, 29.5045, 4.59129, -1.85088
1580,-1.12102, 1.00437, 4.00765,1.52638, -0.678528, 0.588655,0.718874,0.554035,-0.41924,-0.0224595,-0.0903688, 0.0618076, 0.0713551, 1.00511, -1.77962, 1.41723,-0.130022, 0.0130983, 0.000932694,0.28698, 0.162748, 0.00318949, 29.9644, 4.59492, -1.90301
