time,d1,d2,d3,d4,d5,d6
3200,0.0129846, 0.00250343, 0.0343987, 0, -3.91955e-06, 2.2467e-05
3220,0.0129782, 0.00244148, -0.0343876, 0, -4.2349e-06, 2.13359e-05
3240,0.0129721, 0.00238142, -0.0343855, 0, -3.52175e-06, 1.99421e-05
3260,0.012966, 0.00232317, -0.0343895, 0, -1.69441e-06, 1.82466e-05
3280,0.0129602, 0.00226676, -0.0343771, 0, 0, 1.64838e-05
3300,0.0129545, 0.00221212, 0.0343872, 0, 0, 1.47857e-05
3320,0.0129489, 0.00215925, 0.0343969, 0, 0, 1.31897e-05
3340,0.0129436, 0.00210808, 0.034394, 0, 0, 1.17681e-05
3360,0.0129385, 0.0020586, -0.0343852, 0, 0, 1.06239e-05
3380,0.0129336, 0.00201074, -0.0343964, 0, 0, 9.80289e-06
3400,0.0129288, 0.00196447, 0.0343805, 0, 0, 9.12163e-06
3420,0.0129244, 0.00191974, -0.0343946, 0, 0, 8.48173e-06
3440,0.0129201, 0.00187651, 0.0343848, 0, 0, 7.83934e-06
3460,0.0129161, 0.00183477, -0.0343733, 0, 0, 7.10766e-06
3480,0.0129123, 0.00179449, 0.0343963, 0, 0, 6.17533e-06
3500,0.0129088, 0.00175562, 0.0343982, 0, 0, 4.99597e-06
3520,0.0129055, 0.00171817, -0.0343884, 9.78384e-06, 0, 3.76412e-06
3540,0.0129025, 0.0016821, -0.0343752, 6.80196e-06, 0, 2.58445e-06
3560,0.0128998, 0.0016474, 0.0343843, 0, 0, 1.49473e-06
3580,0.0128973, 0.00161406, -0.0343716, 0, 0, 5.72471e-07
3600,0.0128951, 0.00158203, -0.0343967, 0, 0, 0
3620,0.0128931, 0.0015513, -0.0343797, 0, 0, 0
3640,0.0128915, 0.00152181, 0.0343877, 0, 0, 0
3660,0.0128902, 0.00149358, -0.0343904, 0, 0, 0
3680,0.0128891, 0.00146654, 0.0343981, 3.26193e-06, 0, 0
3700,0.0128884, 0.00144068, -0.0343853, 0.000253213, 0, 0
3720,0.0128879, 0.00141598, -0.0343859, 0.000419176, 0, 0
3740,0.0128878, 0.0013924, -0.0343773, 0.000430059, 0, 0
3760,0.012888, 0.00137, -0.0343718, 0.000405067, 0, 0
3780,0.0128885, 0.00134873, -0.0343733, 0.000339772, 0, 0
3800,0.0128893, 0.00132861, -0.034386, 0.000289951, 0, 0
3820,0.0128905, 0.00130956, 0.0343965, 0.000280115, 0, 0
3840,0.012892, 0.0012916, -0.0343726, 0.000310354, 0, 0
3860,0.0128938, 0.00127471, -0.0343835, 0.000413899, 0, 0
3880,0.012896, 0.00125879, -0.0343764, 0.000604803, 0, 0
3900,0.0128985, 0.00124385, -0.0343892, 0.000886657, 0, 0
3920,0.0128998, 0.00122979, -0.0343699, 0.00106071, 0, 0
3940,-0.0128999, 0.00121593, -0.0343918, 0.00104561, 0, 0
3960,0.0128999, 0.00120236, -0.0343706, 0.000984816, 0, 0
3980,0.0128997, 0.00118896, 0.0343933, 0.000927853, 0, 0
4000,-0.0128999, 0.00117567, -0.0343995, 0.000906643, 0, 0
