time,c1,c2,c3,c4,c5,c6
3140,-0.00751816, 0.00279568, -0.00150817, -6.25872e-05, 2.38667e-05, -6.39669e-07
3160,-0.00746187, 0.00273897, -0.00149736, -6.26477e-05, 2.36348e-05, -9.2557e-07
3180,-0.00736904, 0.00265998, -0.00112691, -6.26943e-05, 2.13714e-05, -1.45327e-07
3200,-0.00730683, 0.00259636, 2.83634e-05, -6.26988e-05, 1.44577e-05, 2.99143e-06
3220,-0.00722712, 0.00252738, 0.00216742, -6.26177e-05, 1.71136e-06, 9.13948e-06
3240,-0.00715483, 0.00246261, 0.00532975, -6.24034e-05, -1.723e-05, 1.84641e-05
3260,-0.00708533, 0.00239251, 0.00749853, -6.20439e-05, -3.05248e-05, 2.49069e-05
3280,-0.00700446, 0.00232865, 0.00784799, -6.16425e-05, -3.31449e-05, 2.59124e-05
3300,-0.00696208, 0.00223449, 0.00774661, -6.12469e-05, -3.31519e-05, 2.55629e-05
3320,-0.00688847, 0.00216851, 0.00722364, -6.08693e-05, -3.0593e-05, 2.39341e-05
3340,-0.00682781, 0.00209585, 0.00589648, -6.0542e-05, -2.31922e-05, 1.98495e-05
3360,-0.00675422, 0.00203004, 0.00360758, -6.03113e-05, -9.8918e-06, 1.27945e-05
3380,-0.00670936, 0.00195692, 0.00199615, -6.02007e-05, -5.83657e-07, 7.75576e-06
3400,-0.0066763, 0.00188678, 0.00174025, -6.01352e-05, 5.51267e-07, 6.86339e-06
3420,-0.00660946, 0.00181608, 0.00178869, -6.00744e-05, -1.3058e-07, 6.91772e-06
3440,-0.00657771, 0.00174407, 0.00234612, -6.00002e-05, -3.99624e-06, 8.57976e-06
3460,-0.00649995, 0.00168031, 0.00373035, -5.98756e-05, -1.29784e-05, 1.28782e-05
3480,-0.00647487, 0.00159959, 0.00605786, -5.96523e-05, -2.7966e-05, 2.0204e-05
3500,-0.00642459, 0.00152707, 0.00766229, -5.93078e-05, -3.85385e-05, 2.52615e-05
3520,-0.00636673, 0.00146368, 0.00784881, -5.89217e-05, -4.02987e-05, 2.582e-05
3540,-0.00631091, 0.00140011, 0.00770851, -5.85381e-05, -4.00151e-05, 2.53383e-05
3560,-0.00629648, 0.00129665, 0.00711, -5.81737e-05, -3.68704e-05, 2.33993e-05
3580,-0.00622358, 0.00124982, 0.00572223, -5.78624e-05, -2.86623e-05, 1.89515e-05
3600,-0.00620434, 0.00116257, 0.0047163, -5.76279e-05, -2.28554e-05, 1.57181e-05
3620,-0.00615668, 0.00109668, 0.00457992, -5.74179e-05, -2.25194e-05, 1.5255e-05
3640,-0.00614581, 0.00100898, 0.00469467, -5.72063e-05, -2.38062e-05, 1.5595e-05
3660,-0.00609654, 0.000946248, 0.00540844, -5.69711e-05, -2.89137e-05, 1.78547e-05
3680,-0.00607087, 0.000865435, 0.00695823, -5.66726e-05, -3.94354e-05, 2.27894e-05
3700,-0.00602376, 0.000807913, 0.00935625, -5.62637e-05, -5.54499e-05, 3.04068e-05
3720,-0.00598713, 0.000735004, 0.010859, -5.57301e-05, -6.57219e-05, 3.50779e-05
