time,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,mag.x,mag.y,mag.z
3560,3.03874, 2.08483, 9.1912,0.495298, 0.520588, -0.537768,-0.791438, -0.0405807, -0.626842
3580,2.89775, 2.22052, 9.04568,0.383027, 0.518285, -0.539084,-0.774413, -0.0396519, -0.611882
3600,2.80844, 2.28675, 9.03647,0.311856, 0.513028, -0.53881,-0.777039, -0.0344703, -0.600126
3620,2.66456, 2.37373, 9.0734,0.306883, 0.5145, -0.535466,-0.804491, -0.0187207, -0.566509
3640,2.55654, 2.47546, 9.24048,0.32824, 0.514546, -0.536471,-0.790889, -0.0225693, -0.587528
3660,2.44474, 2.56857, 9.04654,0.40123, 0.511839, -0.534177,-0.822745, -0.0148687, -0.595373
3680,2.30632, 2.66455, 9.25363,0.547499, 0.509121, -0.535155,-0.815031, -0.0230404, -0.575016
3700,2.19163, 2.82052, 9.08125,0.773386, 0.506115, -0.532744,-0.829582, -0.0043476, -0.561314
3720,2.05826, 3.01893, 9.03229,0.907552, 0.504547, -0.530599,-0.835282, -0.0286508, -0.555262
3740,1.94447, 3.19572, 9.01533,0.912876, 0.500685, -0.530851,-0.8243, -0.0222458, -0.550173
3760,1.83755, 3.36114, 8.9811,0.893186, 0.495106, -0.529439,-0.833799, 0.00217005, -0.521038
3780,1.70092, 3.55165, 8.91513,0.832767, 0.491872, -0.528683,-0.848011, -0.00406027, -0.522347
3800,1.57046, 3.72093, 8.88269,0.794132, 0.486627, -0.525782,-0.837798, -0.0152276, -0.522556
3820,1.46432, 3.86091, 8.99257,0.784478, 0.484732, -0.529477,-0.8664, -0.0260829, -0.507355
3840,1.30278, 4.00338, 8.78089,0.814658, 0.482203, -0.528372,-0.860008, -0.00630929, -0.488271
3860,1.19148, 4.18201, 8.75057,0.906223, 0.478504, -0.524617,-0.881072, -0.0214132, -0.493182
3880,1.04884, 4.37406, 8.64281,1.0708, 0.476303, -0.522187,-0.865114, -0.0114721, -0.477036
3900,0.937854, 4.56616, 8.56291,1.30623, 0.469362, -0.519398,-0.887223, -0.0381761, -0.469345
3920,0.801809, 4.81483, 8.42788,1.43517, 0.463199, -0.519325,-0.888973, -0.0350262, -0.441127
3940,0.743042, 5.07234, 8.30373,1.41818, 0.456269, -0.515853,-0.877306, -0.0388279, -0.464811
3960,0.538708, 5.3036, 8.19986,1.3715, 0.448597, -0.519092,-0.872317, -0.0238678, -0.457868
3980,0.403624, 5.52391, 8.2057,1.32389, 0.44394, -0.516127,-0.895489, -0.0426025, -0.44374
4000,0.362121, 5.75688, 7.89379,1.31069, 0.439755, -0.512256,-0.900139, -0.040349, -0.430997
